"variableName","Labels","labelValues","fileFormat"
"idteach","Scrambled TEACHER ID _SCR","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"idschool","Scrambled School ID _SCR","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"pisaschoolid","Scrambled PISA School ID (only available for schools that participated in PISA)","NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"idlang","Language ID","ENGLISH (EXAMPLE COUNTRY); ARABIC (ISRAEL); ARABIC (SAUDI ARABIA); ARABIC (U.A.E. ABU DHABI); ARABIC (U.A.E. DUBAI); ARABIC (U.A.E.); ARMENIAN (GEORGIA); AZERBAIJANI (GEORGIA); BASQUE (SPAIN); BULGARIAN (BULGARIA); CATALAN (SPAIN); CHINESE (SIMPLIFIED) LEGACY; CHINESE (SINGAPORE); CHINESE (TAIWAN); CROATIAN (CROATIA); CZECH (CZECH REPUBLIC); DANISH (DENMARK); DUTCH (BELGIUM); DUTCH (NETHERLANDS); ENGLISH (AUSTRALIA); ENGLISH (CANADA - ALBERTA); ENGLISH (CYPRUS); ENGLISH (FRANCE); ENGLISH (MALTA); ENGLISH (NEW ZEALAND); ENGLISH (SAUDI ARABIA); ENGLISH (SINGAPORE); ENGLISH (TAIWAN); ENGLISH (U.A.E. ABU DHABI); ENGLISH (U.A.E. DUBAI); ENGLISH (U.A.E.); ENGLISH (UNITED KINGDOM); ENGLISH (UNITED STATES); ESTONIAN (ESTONIA); FINNISH (FINLAND); FRENCH (BELGIUM); FRENCH (CANADA - ALBERTA); FRENCH (FRANCE); FRENCH (U.A.E. DUBAI); GALICIAN (GALICIAN); GEORGIAN (GEORGIA); GERMAN (AUSTRIA); GERMAN (EXAMPLE COUNTRY); GREEK (CYPRUS); HEBREW (ISRAEL); HUNGARIAN (HUNGARY); HUNGARIAN (ROMANIA); HUNGARIAN (SLOVAK REPUBLIC); ICELANDIC (ICELAND); ITALIAN (ITALY); JAPANESE (JAPAN); KAZAKH (KAZAKHSTAN); KOREAN (KOREA); LATVIAN (LATVIA); LITHUANIAN (LITHUANIA); MALTESE (MALTA); MAORI (NEW ZEALAND); NORWEGIAN (BOKMÅL) (NORWAY); NORWEGIAN (NYNORSK) (NORWAY); POLISH (LITHUANIA); PORTUGUESE (BRAZIL); PORTUGUESE (PORTUGAL); ROMANIAN (ROMANIA); RUSSIAN (ESTONIA); RUSSIAN (GEORGIA); RUSSIAN (KAZAKHSTAN); RUSSIAN (LATVIA); RUSSIAN (LITHUANIA); RUSSIAN (RUSSIA); SAMI (INARI) (FINLAND); SAMI (LULE) (NORWAY); SAMI (LULE) (SWEDEN); SAMI (NORTHERN) (FINLAND); SAMI (NORTHERN) (NORWAY); SAMI (NORTHERN) (SWEDEN); SAMI (SKOLT) (FINLAND); SAMI (SOUTHERN) (NORWAY); SAMI (SOUTHERN) (SWEDEN); SERBIAN (CYRILLIC, CROATIA); SLOVAK (SLOVAK REPUBLIC); SLOVENIAN (AUSTRIA); SLOVENIAN (SLOVENIA); SPANISH (BUENOS AIRES); SPANISH (CHILE); SPANISH (COLOMBIA); SPANISH (MEXICO); SPANISH (SPAIN); SWEDISH (FINLAND); SWEDISH (SWEDEN); TATAR (RUSSIA); TURKISH (TURKEY); VALENCIAN (SPAIN); VIETNAMESE (VIETNAM); ENGLISH (SOUTH AFRICA); POLISH (POLAND); NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"idcntry","Country ID - Numeric Code","AUSTRALIA; AUSTRIA; BELGIUM; BRAZIL; BULGARIA; CHILE; CHINESE TAIPEI; COLOMBIA; CROATIA; CYPRUS; CZECH REPUBLIC; DENMARK; ESTONIA; FINLAND; FRANCE; GEORGIA; HUNGARY; ICELAND; ISRAEL; ITALY; JAPAN; KAZAKHSTAN; KOREA; LATVIA; LITHUANIA; MALTA; MEXICO; NETHERLANDS; NEW ZEALAND; NORWAY; PORTUGAL; RUSSIAN FEDERATION; SAUDI ARABIA; SINGAPORE; SLOVAK REPUBLIC; VIET NAM; SLOVENIA; SOUTH AFRICA; SPAIN; SWEDEN; UNITED ARAB EMIRATES; TURKEY; UNITED STATES; ENGLAND (UNITED KINGDOM); FLEMISH COMMUNITY (BELGIUM); ALBERTA (CANADA); ROMANIA; CIUDAD AUTÓNOMA DE BUENOS AIRES (ARGENTINA); SHANGHAI (CHINA); NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"cntry","Country ID - Alpha Code","AUSTRALIA; AUSTRIA; BELGIUM; BRAZIL; BULGARIA; CHILE; CHINESE TAIPEI; COLOMBIA; CROATIA; CYPRUS; CZECH REPUBLIC; DENMARK; ESTONIA; FINLAND; FRANCE; GEORGIA; HUNGARY; ICELAND; ISRAEL; ITALY; JAPAN; KAZAKHSTAN; KOREA; LATVIA; LITHUANIA; MALTA; MEXICO; NETHERLANDS; NEW ZEALAND; NORWAY; PORTUGAL; RUSSIAN FEDERATION; SAUDI ARABIA; SINGAPORE; SLOVAK REPUBLIC; VIET NAM; SLOVENIA; SOUTH AFRICA; SPAIN; SWEDEN; UNITED ARAB EMIRATES; TURKEY; UNITED STATES; ENGLAND (UNITED KINGDOM); FLEMISH COMMUNITY (BELGIUM); ALBERTA (CANADA); ROMANIA; CIUDAD AUTÓNOMA DE BUENOS AIRES (ARGENTINA); SHANGHAI (CHINA); NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"idcntryr","Country ID - Order for International Report","ALBERTA (CANADA); AUSTRALIA; AUSTRIA; BELGIUM; FLEMISH COMMUNITY (BELGIUM); BRAZIL; BULGARIA; CIUDAD AUTÓNOMA DE BUENOS AIRES (ARGENTINA); CHILE; COLOMBIA; CROATIA; CYPRUS; CZECH REPUBLIC; DENMARK; ENGLAND (UNITED KINGDOM); ESTONIA; FINLAND; FRANCE; GEORGIA; HUNGARY; ICELAND; ISRAEL; ITALY; JAPAN; KAZAKHSTAN; KOREA; LATVIA; LITHUANIA; MALTA; MEXICO; NETHERLANDS; NEW ZEALAND; NORWAY; PORTUGAL; ROMANIA; RUSSIAN FEDERATION; SAUDI ARABIA; SHANGHAI (CHINA); SINGAPORE; SLOVAK REPUBLIC; SLOVENIA; SOUTH AFRICA; SPAIN; SWEDEN; CHINESE TAIPEI; TURKEY; UNITED ARAB EMIRATES; UNITED STATES; VIET NAM; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
"idcntpop","Country Alpha Code and ISCED Level","","Teacher"
"tt3g01","Gender - T","FEMALE; MALE; NOT REACHED; NOT ADMINISTERED; MISSING","Teacher"
"tt3g03","Highest level of formal education completed - T","BELOW <ISCED 2011 LEVEL 3>; <ISCED 2011 LEVEL 3>; <ISCED 2011 LEVEL 4>; <ISCED 2011 LEVEL 5>; <ISCED 2011 LEVEL 6>; <ISCED 2011 LEVEL 7>; <ISCED 2011 LEVEL 8>; NOT REACHED; NOT ADMINISTERED; OMITTED OR INVALID","Teacher"
